192547781.txt,"Encyclopaedia Britannica - Sixth edition, Volume 1, A-AME - EB.11"
192015835.txt,"Encyclopaedia Britannica - Sixth edition, Volume 2, America-ASS - EB.11"
193696080.txt,"Encyclopaedia Britannica - Sixth edition, Volume 3, ASS-BOO - EB.11"
192200662.txt,"Encyclopaedia Britannica - Sixth edition, Volume 4, BOO-BUR - EB.11"
192692756.txt,"Encyclopaedia Britannica - Sixth edition, Volume 5, BUR-CHI - EB.11"
192200322.txt,"Encyclopaedia Britannica - Sixth edition, Volume 6, CHI-Crystallization - EB.11"
192015838.txt,"Encyclopaedia Britannica - Sixth edition, Volume 7, CTE-Electricity - EB.11"
192015836.txt,"Encyclopaedia Britannica - Sixth edition, Volume 8, ELE-FOR - EB.11"
192547782.txt,"Encyclopaedia Britannica - Sixth edition, Volume 9, FOR-GOT - EB.11"
191679036.txt,"Encyclopaedia Britannica - Sixth edition, Volume 10, GOT-Hydrodynamics - EB.11"
192984257.txt,"Encyclopaedia Britannica - Sixth edition, Volume 11, HYD-LIE - EB.11"
191689064.txt,"Encyclopaedia Britannica - Sixth edition, Volume 12, LIE-Materia medica - EB.11"
192200323.txt,"Encyclopaedia Britannica - Sixth edition, Volume 13, MAT-MIC - EB.11"
191689065.txt,"Encyclopaedia Britannica - Sixth edition, Volume 14, MIC-NIC - EB.11"
192015837.txt,"Encyclopaedia Britannica - Sixth edition, Volume 15, NIC-PAR - EB.11"
192547783.txt,"Encyclopaedia Britannica - Sixth edition, Volume 16, PAR-Poetry - EB.11"
192547784.txt,"Encyclopaedia Britannica - Sixth edition, Volume 17, Poetry-RHI - EB.11"
192015834.txt,"Encyclopaedia Britannica - Sixth edition, Volume 18, RHI-Scripture - EB.11"
193057497.txt,"Encyclopaedia Britannica - Sixth edition, Volume 19, Scripture-SUG - EB.11"
193696081.txt,"Encyclopaedia Britannica - Sixth edition, Volume 20, SUI-ZYM - EB.11"
193057498.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 1 - EB.12"
193108319.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 2 - EB.12"
192016360.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 3 - EB.12"
192146221.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 4 - EB.12"
192547786.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 5 - EB.12"
192547787.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 6 - EB.12"
193108320.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 1 - EB.13"
192693395.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 2 - EB.13"
193057499.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 3 - EB.13"
193696082.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 4 - EB.13"
192547788.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 5 - EB.13"
192693396.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 6 - EB.13"
192547790.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 1 - EB.14"
193109112.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 2 - EB.14"
193108321.txt,"Supplement to the fourth, fifth and sixth editions of the Encyclopaedia Britannica - Volume 3 - EB.14"
192984258.txt,"Encyclopaedia Britannica - Seventh edition, Volume 1, Preliminary dissertations - EB.15"
192984259.txt,"Encyclopaedia Britannica - Seventh edition, Volume 2, A-Anatomy - EB.15"
193057500.txt,"Encyclopaedia Britannica - Seventh edition, Volume 3, Anatomy-Astronomy - EB.15"
193108322.txt,"Encyclopaedia Britannica - Seventh edition, Volume 4, Astronomy-BOR - EB.15"
